0 , 0  , 000 , 000 , 
4 , 8  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
1 , 1  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
4 , 10  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
2 , 6  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
4 , 8  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
1 , 1  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
4 , 10  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
2 , 6  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
5 , 1  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
2 , 5  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
2 , 4  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
5 , 2  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
5 , 1  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
2 , 5  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
2 , 4  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
5 , 2  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
2 , 3  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
5 , 6  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
2 , 2  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
2 , 1  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
2 , 3  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
5 , 6  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
2 , 2  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
2 , 1  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
5 , 10  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
1 , 10  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
3 , 2  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
3 , 1  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
6 , 2  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
5 , 10  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
1 , 10  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
3 , 2  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
3 , 1  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
6 , 2  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
2 , 10  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
1 , -1  ,  , THREAD COMPLETED , 
6 , 10  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
2 , 9  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
7 , 1  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
2 , 10  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
2 , 8  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
6 , 10  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
2 , 9  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
7 , 1  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
7 , 4  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
2 , 8  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
3 , 5  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
3 , 4  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
7 , 5  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
7 , 4  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
2 , -1  ,  , THREAD COMPLETED , 
3 , 5  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
3 , 4  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
7 , 5  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
3 , 9  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
7 , 7  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
3 , 8  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
3 , 7  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
7 , 8  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
3 , 9  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
7 , 7  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
3 , 8  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
3 , 7  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
7 , 8  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
4 , 1  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
8 , 3  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
4 , 7  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
3 , -1  ,  , THREAD COMPLETED , 
8 , 5  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
4 , 1  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
8 , 3  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
4 , 7  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
4 , 6  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
8 , 5  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
8 , 8  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
4 , 5  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
8 , 10  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
4 , 6  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
4 , 4  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
8 , 8  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
4 , 5  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
8 , 10  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
9 , 4  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
4 , 4  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
4 , 3  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
9 , 10  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
4 , 9  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
9 , 4  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
10 , 2  , 00000000-0000-0000-0000-000000000000 , DOC INSERTED , 
4 , 3  , 00000000-0000-0000-0000-000000000000 , DocProcesser END , 
